Market Capitalization,Number Of Shares to Buy,Price,Ticker
62045108003.0,135,146.32,PNC
8508685368.0,380,51.99,PNR
9479832577.0,233,84.85,PNW
34650477563.0,132,149.82,PPG
22962412765.0,662,29.9,PPL
6987644195.0,396,49.948,PRGO
31759276375.0,237,83.52,PRU
40376861186.0,87,227.348,PSA
31251748476.0,278,71.1,PSX
6625078605.0,207,95.48,PVH
10147012442.0,271,72.88,PWR
18451499343.0,172,114.9,PXD
260393180612.0,90,218.45,PYPL
184525559650.0,122,161.49,QCOM
18854229288.0,118,167.07,QRVO
18708982410.0,233,84.771,RCL
9465472799.0,83,235.82,RE
8575792094.0,408,48.51,REG
53539340767.0,39,501.68,REGN
15708689536.0,1195,16.57,RF
7431848518.0,300,66.0,RHI
13509620734.0,200,98.66,RJF
4609974379.0,201,98.117,RL
31233076832.0,90,218.459,RMD
28891659725.0,78,253.0,ROK
18929025873.0,344,57.45,ROL
45821034281.0,46,426.27,ROP
41477204519.0,173,114.41,ROST
31243032297.0,205,96.13,RSG
111957888847.0,266,74.33,RTX
32396396530.0,67,294.54,SBAC
121280249200.0,191,103.217,SBUX
92403966878.0,385,51.41,SCHW
7302262801.0,428,46.23,SEE
66064144289.0,27,715.03,SHW
18434685794.0,55,357.75,SIVB
13800370219.0,169,116.71,SJM
32697828214.0,812,24.374,SLB
4619560583.0,308,64.25,SLG
9860229043.0,107,183.39,SNA
37749937537.0,80,245.86,SNPS
68178786382.0,307,64.5,SO
29916150902.0,215,91.8,SPG
84121298801.0,59,334.94,SPGI
38744509876.0,150,131.2,SRE
16528182836.0,99,198.94,STE
27805782091.0,254,77.94,STT
17098699416.0,299,66.129,STX
42057081619.0,92,215.16,STZ
29754091444.0,106,186.093,SWK
25757242861.0,128,154.54,SWKS
19020154927.0,599,33.007,SYF
93782972122.0,82,239.979,SYK
40482702687.0,248,79.649,SYY
212320481024.0,664,29.81,T
9849286788.0,403,49.04,TAP
32997949771.0,31,626.71,TDG
14864848859.0,49,400.182,TDY
39509776028.0,163,121.19,TEL
66112541730.0,398,49.631,TFC
18247333901.0,51,385.42,TFX
89129676766.0,113,174.244,TGT
16383066469.0,143,137.695,TIF
80659447641.0,298,66.32,TJX
194366200876.0,40,491.46,TMO
167055927436.0,144,137.457,TMUS
8564561744.0,671,29.496,TPR
35675613380.0,131,150.63,TROW
34844207161.0,144,136.9,TRV
16369608382.0,145,136.43,TSCO
20190799660.0,280,70.517,TSN
34388511248.0,133,148.4,TT
21834614846.0,107,185.037,TTWO
39613326608.0,410,48.19,TWTR
156030985685.0,115,170.81,TXN
10842096555.0,403,49.03,TXT
17595006529.0,44,449.38,TYL
6817737760.0,1317,15.03,UA
6859041597.0,1133,17.473,UAA
15200140235.0,382,51.823,UAL
12449921416.0,464,42.65,UDR
10676425299.0,146,134.945,UHS
15597878766.0,68,287.67,ULTA
337856108730.0,56,347.739,UNH
5065980874.0,808,24.486,UNM
143763631905.0,96,205.797,UNP
124077537397.0,118,167.18,UPS
17738029346.0,78,252.43,URI
69496203918.0,423,46.77,USB
376045082817.0,92,213.63,V
16067916356.0,111,177.205,VAR
34580616980.0,216,91.39,VFC
23123912776.0,525,37.68,VIAC
25365867422.0,318,62.16,VLO
20313925550.0,134,147.0,VMC
7968710574.0,481,41.09,VNO
32805445071.0,98,200.68,VRSK
24163929695.0,96,204.73,VRSN
62128130997.0,85,231.0,VRTX
18811625289.0,395,50.13,VTR
265920628395.0,322,61.484,VZ
14540479508.0,252,78.309,WAB
15290489115.0,83,237.5,WAT
38255252737.0,452,43.74,WBA
16064079404.0,367,53.887,WDC
31007572056.0,209,94.53,WEC
28669018160.0,288,68.61,WELL
124349742389.0,670,29.523,WFC
11694903861.0,102,192.362,WHR
28244127432.0,92,213.26,WLTW
49715288948.0,163,121.297,WM
26788699489.0,878,22.54,WMB
437276053746.0,130,151.86,WMT
12124365582.0,295,67.01,WRB
12061633204.0,435,45.5,WRK
20412783460.0,71,278.89,WST
9043243360.0,864,22.917,WU
23193464200.0,655,30.199,WY
12266567491.0,170,115.92,WYNN
36612170885.0,284,69.658,XEL
37646669228.0,129,153.37,XLNX
178591807099.0,474,41.74,XOM
11845548535.0,357,55.37,XRAY
4675828667.0,841,23.52,XRX
18172947458.0,199,99.2,XYL
32321939270.0,180,109.89,YUM
31193442170.0,130,151.4,ZBH
20925631675.0,51,386.636,ZBRA
7401630433.0,448,44.2,ZION
78437512538.0,123,160.037,ZTS
